customer_id,gender,past_3_years_bike_related_purchases,DOB,job_title,job_industry_category,wealth_segment,owns_car,tenure,postcode,state,property_valuation,transaction_date,online_order,order_status,brand,product_line,product_class,product_size,list_price,standard_cost,product_first_sold_date,customer_age,product_age
1,F,93,1953-10-12,Executive Secretary,Health,Mass Customer,True,11,2016,NSW,10,2017-12-23,False,True,OHM Cycles,Standard,medium,medium,235.63,125.07,1999-10-29 03:32:46.094274,64,18.0
1,F,93,1953-10-12,Executive Secretary,Health,Mass Customer,True,11,2016,NSW,10,2017-04-06,True,True,Solex,Standard,medium,medium,1577.53,826.51,2002-09-07 03:32:46.094274,64,15.0
1,F,93,1953-10-12,Executive Secretary,Health,Mass Customer,True,11,2016,NSW,10,2017-05-11,True,True,Trek Bicycles,Road,low,small,1720.7,1531.42,1998-01-08 03:32:46.094274,64,19.0
1,F,93,1953-10-12,Executive Secretary,Health,Mass Customer,True,11,2016,NSW,10,2017-01-05,False,True,Norco Bicycles,Standard,medium,medium,360.4,270.3,1998-02-27 03:32:46.094274,64,19.0
1,F,93,1953-10-12,Executive Secretary,Health,Mass Customer,True,11,2016,NSW,10,2017-02-21,False,True,Solex,Standard,medium,medium,71.49,53.62,2000-01-28 03:32:46.094274,64,17.0
1,F,93,1953-10-12,Executive Secretary,Health,Mass Customer,True,11,2016,NSW,10,2017-05-19,False,True,Giant Bicycles,Road,medium,medium,1538.99,829.65,1986-04-30 03:32:46.094274,64,31.0
1,F,93,1953-10-12,Executive Secretary,Health,Mass Customer,True,11,2016,NSW,10,2017-03-27,False,True,Norco Bicycles,Mountain,low,small,688.63,612.88,1986-01-23 03:32:46.094274,64,31.0
1,F,93,1953-10-12,Executive Secretary,Health,Mass Customer,True,11,2016,NSW,10,2017-12-14,True,True,Giant Bicycles,Standard,medium,medium,230.91,173.18,1996-09-09 03:32:46.094274,64,21.0
1,F,93,1953-10-12,Executive Secretary,Health,Mass Customer,True,11,2016,NSW,10,2017-06-04,True,True,Giant Bicycles,Standard,medium,medium,642.7,211.37,2005-09-03 03:32:46.094274,64,12.0
1,F,93,1953-10-12,Executive Secretary,Health,Mass Customer,True,11,2016,NSW,10,2017-12-09,True,True,OHM Cycles,Road,medium,medium,742.54,667.4,1998-01-23 03:32:46.094274,64,19.0
1,F,93,1953-10-12,Executive Secretary,Health,Mass Customer,True,11,2016,NSW,10,2017-03-29,True,True,Giant Bicycles,Standard,high,medium,1274.93,764.96,1991-04-30 03:32:46.094274,64,26.0
2,M,81,1980-12-16,Administrative Officer,Financial Services,Mass Customer,True,16,2153,NSW,10,2017-05-04,True,True,Giant Bicycles,Standard,medium,medium,1403.5,954.82,2006-02-16 03:32:46.094274,37,11.0
2,M,81,1980-12-16,Administrative Officer,Financial Services,Mass Customer,True,16,2153,NSW,10,2017-06-11,False,True,WeareA2B,Standard,medium,medium,752.64,205.36,1999-01-26 03:32:46.094274,37,18.0
2,M,81,1980-12-16,Administrative Officer,Financial Services,Mass Customer,True,16,2153,NSW,10,2017-08-24,False,True,WeareA2B,Standard,medium,medium,1992.93,762.63,1996-09-09 03:32:46.094274,37,21.0
3,M,61,1954-01-20,Recruiting Manager,Property,Mass Customer,True,15,,,,2017-02-23,False,True,Giant Bicycles,Standard,medium,small,1311.44,1167.18,2006-09-29 03:32:46.094274,63,11.0
3,M,61,1954-01-20,Recruiting Manager,Property,Mass Customer,True,15,,,,2017-09-16,False,True,Giant Bicycles,Standard,medium,large,1635.3,993.66,2006-09-29 03:32:46.094274,63,11.0
3,M,61,1954-01-20,Recruiting Manager,Property,Mass Customer,True,15,,,,2017-04-21,True,True,Trek Bicycles,Road,medium,large,1894.19,598.76,2008-08-21 03:32:46.094274,63,9.0
3,M,61,1954-01-20,Recruiting Manager,Property,Mass Customer,True,15,,,,2017-04-05,False,True,Norco Bicycles,Road,medium,large,1240.31,795.1,1995-04-24 03:32:46.094274,63,22.0
